EpiWeek,Country,District,EpiCaseDef,Gender,Age,Value
2014-W21,Guinea,Gueckedou,Confirmed,Female,14,1
2014-W22,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W23,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W24,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W25,Guinea,Gueckedou,Confirmed,Female,14,1
2014-W26,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W27,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W28,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W29,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W30,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W31,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W32,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W33,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W34,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W35,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W36,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W37,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W38,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W39,Guinea,Gueckedou,Confirmed,Female,14,0
NA,Guinea,Gueckedou,Confirmed,Female,14,0
2014-W01,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W02,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W04,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W05,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W06,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W07,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W08,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W09,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W10,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W11,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W12,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W13,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W14,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W15,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W16,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W17,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W18,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W19,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W20,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W21,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W22,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W23,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W24,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W25,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W26,Guinea,Gueckedou,Confirmed,Female,15,1
2014-W27,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W28,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W29,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W30,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W31,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W32,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W33,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W34,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W35,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W36,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W37,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W38,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W39,Guinea,Gueckedou,Confirmed,Female,15,0
NA,Guinea,Gueckedou,Confirmed,Female,15,0
2014-W01,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W02,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W04,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W05,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W06,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W07,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W08,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W09,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W10,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W11,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W12,Guinea,Gueckedou,Confirmed,Female,16,1
2014-W13,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W14,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W15,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W16,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W17,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W18,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W19,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W20,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W21,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W22,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W23,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W24,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W25,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W26,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W27,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W28,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W29,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W30,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W31,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W32,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W33,Guinea,Gueckedou,Confirmed,Female,16,0
2014-W34,Guinea,Gueckedou,Confirmed,Female,16,0
